"file","feature","missing_n","missing_rate"
"5year.arff","Attr25",3,0.00050761421319797
"5year.arff","Attr26",18,0.00304568527918782
"5year.arff","Attr27",391,0.0661590524534687
"5year.arff","Attr28",107,0.0181049069373942
"5year.arff","Attr29",3,0.00050761421319797
"5year.arff","Attr30",0,0
"5year.arff","Attr31",0,0
"5year.arff","Attr32",46,0.0077834179357022
"5year.arff","Attr33",21,0.00355329949238579
"5year.arff","Attr34",18,0.00304568527918782
"5year.arff","Attr35",3,0.00050761421319797
"5year.arff","Attr36",3,0.00050761421319797
"5year.arff","Attr37",2548,0.431133671742809
"5year.arff","Attr38",3,0.00050761421319797
"5year.arff","Attr39",0,0
"5year.arff","Attr40",21,0.00355329949238579
"5year.arff","Attr41",84,0.0142131979695431
"5year.arff","Attr42",0,0
"5year.arff","Attr43",0,0
"5year.arff","Attr44",0,0
"5year.arff","Attr45",268,0.0453468697123519
"5year.arff","Attr46",21,0.00355329949238579
"5year.arff","Attr47",35,0.00592216582064298
"5year.arff","Attr48",3,0.00050761421319797
"5year.arff","Attr49",0,0
"5year.arff","Attr50",18,0.00304568527918782
"5year.arff","Attr51",3,0.00050761421319797
"5year.arff","Attr52",36,0.00609137055837563
"5year.arff","Attr53",107,0.0181049069373942
"5year.arff","Attr54",107,0.0181049069373942
"5year.arff","Attr55",0,0
"5year.arff","Attr56",0,0
"5year.arff","Attr57",3,0.00050761421319797
"5year.arff","Attr58",0,0
"5year.arff","Attr59",3,0.00050761421319797
"5year.arff","Attr60",268,0.0453468697123519
"5year.arff","Attr61",15,0.00253807106598985
"5year.arff","Attr62",0,0
"5year.arff","Attr63",21,0.00355329949238579
"5year.arff","Attr64",107,0.0181049069373942
